Url,Area_of_Property,Age_of_Property
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-cauvery-colony-ejipura-bangalore/8a9fb3827aebed04017aec3be1a63259/detail,"1,200 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fef8485ab14560185ab23aaab0722/detail,"1,900 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-balaji-splendor-appartments-bangalore/8a9fc68281e646ed0181e658f53d0623/detail,"1,225 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-8th-block-bangalore/8a9ff18d857b021001857b30fe381cab/detail,"1,000 sq ft.",1-3 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fca82819907990181998bd2636342/detail,"2,450 sq ft.",Newly years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-1st-block-near-temple-trees-row-bangalore/8a9fb8827b392c8f017b393f358807b8/detail,"2,183 sq ft.",Newly years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9683819907a30181997d8d4f5438/detail,"2,445 sq ft.",Newly years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f028288d209c20188d22e5c6c1431/detail,"1,800 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fff8288c861e50188c8b829fa467b/detail,"1,120 sq ft.",1-3 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0f838842f33b018843045122077d/detail,"3,200 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/ff8081816cce2a01016cceec274b6763/detail,"10,000 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe182869630f6018696c1a1fb7071/detail,"1,400 sq ft.",>10 years
